model,split,PICP,MPWI,NMPIL,RMSE,isintense
nwp,0,0.7588568925857544,0.03605281189084053,0.03605281189084053,0.03152117505669594,1
nwp,0,0.8078505396842957,0.014831156469881535,0.05680682137608528,0.011555887758731842,0
sde_unet,0,0.6013249754905701,0.0034459189046174288,0.0034459189046174288,0.02657206915318966,1
sde_unet,0,0.6536312103271484,0.0029381357599049807,0.011253751814365387,0.008060047402977943,0
ensemble_unet,0,0.6056765913963318,0.0066970521584153175,0.0066970521584153175,0.028191350400447845,1
ensemble_unet,0,0.6050125360488892,0.0018005477031692863,0.006896521430462599,0.008156545460224152,0
mcd_unet,0,0.626211941242218,0.008298598229885101,0.008298598229885101,0.028227277100086212,1
mcd_unet,0,0.768021821975708,0.007563505321741104,0.028970004990696907,0.008582165464758873,0
linear_regression,0,0.5729981064796448,0.0,0.0,0.03187471255660057,1
linear_regression,0,0.572998046875,0.0,0.0,0.011518694460391998,0
sde_unet,1,0.6024370193481445,0.003520896192640066,0.003520896192640066,0.026199158281087875,1
sde_unet,1,0.6933979988098145,0.003081968054175377,0.010834740474820137,0.007396407891064882,0
ensemble_unet,1,0.6143583059310913,0.00671541690826416,0.00671541690826416,0.026921246200799942,1
ensemble_unet,1,0.7022641897201538,0.0028865451458841562,0.01014772616326809,0.0072009144350886345,0
mcd_unet,1,0.6255545020103455,0.007225359790027142,0.007225359790027142,0.029522253200411797,1
mcd_unet,1,0.8068186640739441,0.007721995003521442,0.027146877720952034,0.00811409205198288,0
linear_regression,1,0.5729981660842896,0.0,0.0,0.032066818326711655,1
linear_regression,1,0.572998046875,0.0,0.0,0.01095978170633316,0
sde_unet,2,0.6032243967056274,0.0036626439541578293,0.0036626439541578293,0.026236141100525856,1
sde_unet,2,0.6766754388809204,0.0030185068026185036,0.01704332046210766,0.006697808858007193,0
ensemble_unet,2,0.6123484373092651,0.00757995480671525,0.00757995480671525,0.027841411530971527,1
ensemble_unet,2,0.6445725560188293,0.0022146773990243673,0.012504679150879383,0.006516117136925459,0
mcd_unet,2,0.6258668899536133,0.008416134864091873,0.008416134864091873,0.028505509719252586,1
mcd_unet,2,0.7779339551925659,0.007532842457294464,0.042532503604888916,0.007267707027494907,0
linear_regression,2,0.572998046875,0.0,0.0,0.030149446800351143,1
linear_regression,2,0.572998046875,0.0,0.0,0.011346439830958843,0
sde_unet,3,0.6006461381912231,0.0033525731414556503,0.0033525731414556503,0.026344744488596916,1
sde_unet,3,0.6539222598075867,0.0029288255609571934,0.013606483116745949,0.0074115716852247715,0
ensemble_unet,3,0.6053059697151184,0.006315465085208416,0.006315465085208416,0.02760278806090355,1
ensemble_unet,3,0.6099715828895569,0.0018244832754135132,0.008476026356220245,0.0073603857308626175,0
mcd_unet,3,0.6380370259284973,0.008415644988417625,0.008415644988417625,0.028559265658259392,1
mcd_unet,3,0.8195114731788635,0.009729763492941856,0.04520168900489807,0.008296673186123371,0
linear_regression,3,0.572998046875,0.0,0.0,0.03132156655192375,1
linear_regression,3,0.572998046875,0.0,0.0,0.009284725412726402,0
sde_unet,4,0.6021258234977722,0.0035156356170773506,0.0035156356170773506,0.02619524858891964,1
sde_unet,4,0.6677122116088867,0.0030299562495201826,0.02239171229302883,0.007909725420176983,0
ensemble_unet,4,0.6013718247413635,0.0061195893213152885,0.0061195893213152885,0.027211429551243782,1
ensemble_unet,4,0.606380820274353,0.0016322931041941047,0.012062827125191689,0.007868379354476929,0
mcd_unet,4,0.6252185106277466,0.008582556620240211,0.008582556620240211,0.027997814118862152,1
mcd_unet,4,0.7757264375686646,0.007575796917080879,0.05598597973585129,0.008704222738742828,0
linear_regression,4,0.572998046875,0.0,0.0,0.03241182491183281,1
linear_regression,4,0.5729981064796448,0.0,0.0,0.011448872275650501,0
sde_unet,5,0.5990659594535828,0.003001068253070116,0.003001068253070116,0.026427695527672768,1
sde_unet,5,0.6398409605026245,0.002801124006509781,0.008261468261480331,0.01203072164207697,0
ensemble_unet,5,0.6078378558158875,0.007205714005976915,0.007205714005976915,0.027426494285464287,1
ensemble_unet,5,0.6196807026863098,0.0035109957680106163,0.01035512238740921,0.009653964079916477,0
mcd_unet,5,0.6255542635917664,0.00815552193671465,0.00815552193671465,0.027369223535060883,1
mcd_unet,5,0.736806333065033,0.007338826544582844,0.021644698455929756,0.009014610201120377,0
linear_regression,5,0.5729981064796448,0.0,0.0,0.03173656389117241,1
linear_regression,5,0.572998046875,0.0,0.0,0.02016831748187542,0
sde_unet,6,0.6032507419586182,0.00358957564458251,0.00358957564458251,0.026581842452287674,1
sde_unet,6,0.6757221221923828,0.0031374217942357063,0.01859266869723797,0.00685979425907135,0
ensemble_unet,6,0.6069211959838867,0.006882199086248875,0.006882199086248875,0.027270503342151642,1
ensemble_unet,6,0.6095939874649048,0.001621184404939413,0.009607297368347645,0.006593008991330862,0
mcd_unet,6,0.6270154714584351,0.00800438690930605,0.00800438690930605,0.029008638113737106,1
mcd_unet,6,0.8064321875572205,0.007867090404033661,0.04662114754319191,0.0072616818360984325,0
linear_regression,6,0.572998046875,0.0,0.0,0.03055218979716301,1
linear_regression,6,0.572998046875,0.0,0.0,0.010676668956875801,0
sde_unet,7,0.6026634573936462,0.0035363868810236454,0.0035363868810236454,0.0265340656042099,1
sde_unet,7,0.6671905517578125,0.003082234412431717,0.010292274877429008,0.009521722793579102,0
ensemble_unet,7,0.6166083216667175,0.007506310939788818,0.007506310939788818,0.027380026876926422,1
ensemble_unet,7,0.636184573173523,0.003011036664247513,0.010054529644548893,0.009476822800934315,0
mcd_unet,7,0.6263066530227661,0.007359457667917013,0.007359457667917013,0.02898256480693817,1
mcd_unet,7,0.7784020900726318,0.007510803639888763,0.02508026547729969,0.010123203508555889,0
linear_regression,7,0.572998046875,0.0,0.0,0.032735712826251984,1
linear_regression,7,0.572998046875,0.0,0.0,0.012967455200850964,0
sde_unet,8,0.6002439260482788,0.0033876588568091393,0.0033876588568091393,0.026230191811919212,1
sde_unet,8,0.6563916802406311,0.0028921086341142654,0.01666255109012127,0.007501150481402874,0
ensemble_unet,8,0.6015536785125732,0.006291528232395649,0.006291528232395649,0.027307171374559402,1
ensemble_unet,8,0.602544367313385,0.00146061135455966,0.008415143936872482,0.00728716840967536,0
mcd_unet,8,0.6279717087745667,0.007857498712837696,0.007857498712837696,0.02823561057448387,1
mcd_unet,8,0.8172178864479065,0.008358885534107685,0.048158757388591766,0.0076942406594753265,0
linear_regression,8,0.572998046875,0.0,0.0,0.030695965513586998,1
linear_regression,8,0.5729981064796448,0.0,0.0,0.01000066939741373,0
