"epoch","CAPEOK - _step","CAPEOK - _step__MIN","CAPEOK - _step__MAX","val/loss","CAPEOK - val/loss__MIN","CAPEOK - val/loss__MAX"
"0","10","10","10","0.27313750982284546","0.27313750982284546","0.27313750982284546"
"1","21","21","21","0.18051773309707642","0.18051773309707642","0.18051773309707642"
"2","32","32","32","0.15388332307338715","0.15388332307338715","0.15388332307338715"
"3","43","43","43","0.15210947394371033","0.15210947394371033","0.15210947394371033"
"4","54","54","54","0.14481157064437866","0.14481157064437866","0.14481157064437866"
"5","65","65","65","0.1235712394118309","0.1235712394118309","0.1235712394118309"
"6","76","76","76","0.18082377314567566","0.18082377314567566","0.18082377314567566"
"7","87","87","87","0.16202226281166077","0.16202226281166077","0.16202226281166077"
"8","98","98","98","0.14723742008209229","0.14723742008209229","0.14723742008209229"
"9","109","109","109","0.15551455318927765","0.15551455318927765","0.15551455318927765"
"10","120","120","120","0.14031729102134705","0.14031729102134705","0.14031729102134705"
"11","131","131","131","0.14486712217330933","0.14486712217330933","0.14486712217330933"
"12","142","142","142","0.13851597905158997","0.13851597905158997","0.13851597905158997"
"13","153","153","153","0.16147533059120178","0.16147533059120178","0.16147533059120178"
"14","164","164","164","0.1303732693195343","0.1303732693195343","0.1303732693195343"
"15","175","175","175","0.18673160672187805","0.18673160672187805","0.18673160672187805"
"16","186","186","186","0.1356504112482071","0.1356504112482071","0.1356504112482071"
"17","197","197","197","0.13501210510730743","0.13501210510730743","0.13501210510730743"
"18","208","208","208","0.14566870033740997","0.14566870033740997","0.14566870033740997"
"19","219","219","219","0.14149364829063416","0.14149364829063416","0.14149364829063416"
"20","230","230","230","0.1442072093486786","0.1442072093486786","0.1442072093486786"
"21","241","241","241","0.16211780905723572","0.16211780905723572","0.16211780905723572"
"22","252","252","252","0.1559797078371048","0.1559797078371048","0.1559797078371048"
"23","263","263","263","0.14038921892642975","0.14038921892642975","0.14038921892642975"
"24","274","274","274","0.13649368286132812","0.13649368286132812","0.13649368286132812"
"25","285","285","285","0.1363949179649353","0.1363949179649353","0.1363949179649353"
"26","296","296","296","0.1393609195947647","0.1393609195947647","0.1393609195947647"
"27","307","307","307","0.1258688122034073","0.1258688122034073","0.1258688122034073"
"28","318","318","318","0.12408989667892456","0.12408989667892456","0.12408989667892456"
"29","329","329","329","0.12635231018066406","0.12635231018066406","0.12635231018066406"
"30","340","340","340","0.13818778097629547","0.13818778097629547","0.13818778097629547"
"31","351","351","351","0.14371587336063385","0.14371587336063385","0.14371587336063385"
"32","362","362","362","0.13733164966106415","0.13733164966106415","0.13733164966106415"
"33","373","373","373","0.1369880884885788","0.1369880884885788","0.1369880884885788"
"34","384","384","384","0.1375025063753128","0.1375025063753128","0.1375025063753128"
"35","395","395","395","0.13672591745853424","0.13672591745853424","0.13672591745853424"
"36","406","406","406","0.142695352435112","0.142695352435112","0.142695352435112"
"37","417","417","417","0.1268918216228485","0.1268918216228485","0.1268918216228485"
"38","428","428","428","0.1274479180574417","0.1274479180574417","0.1274479180574417"
"39","439","439","439","0.13835309445858002","0.13835309445858002","0.13835309445858002"
"40","450","450","450","0.15567342936992645","0.15567342936992645","0.15567342936992645"
"41","461","461","461","0.13978393375873566","0.13978393375873566","0.13978393375873566"
"42","472","472","472","0.14965593814849854","0.14965593814849854","0.14965593814849854"
"43","483","483","483","0.1507078856229782","0.1507078856229782","0.1507078856229782"
"44","494","494","494","0.13897734880447388","0.13897734880447388","0.13897734880447388"
"45","505","505","505","0.13999100029468536","0.13999100029468536","0.13999100029468536"
"46","516","516","516","0.1376238614320755","0.1376238614320755","0.1376238614320755"
"47","527","527","527","0.13850459456443787","0.13850459456443787","0.13850459456443787"
"48","538","538","538","0.15945056080818176","0.15945056080818176","0.15945056080818176"
"49","549","549","549","0.15197625756263733","0.15197625756263733","0.15197625756263733"
"50","560","560","560","0.13427191972732544","0.13427191972732544","0.13427191972732544"
"51","571","571","571","0.14435860514640808","0.14435860514640808","0.14435860514640808"
"52","582","582","582","0.14682933688163757","0.14682933688163757","0.14682933688163757"
"53","593","593","593","0.1408003270626068","0.1408003270626068","0.1408003270626068"
"54","604","604","604","0.14491374790668488","0.14491374790668488","0.14491374790668488"
"55","615","615","615","0.1466788649559021","0.1466788649559021","0.1466788649559021"
"56","626","626","626","0.1432385891675949","0.1432385891675949","0.1432385891675949"
"57","637","637","637","0.14563052356243134","0.14563052356243134","0.14563052356243134"
"58","648","648","648","0.14685605466365814","0.14685605466365814","0.14685605466365814"
"59","659","659","659","0.13417574763298035","0.13417574763298035","0.13417574763298035"