"epoch","CAPEOK - _step","CAPEOK - _step__MIN","CAPEOK - _step__MAX","train/loss","CAPEOK - train/loss__MIN","CAPEOK - train/loss__MAX"
"0","4.5","0","9","0.23464218378067017","0.18626663088798523","0.36484140157699585"
"1","15.5","11","20","0.21036745011806487","0.19103968143463135","0.2274467945098877"
"2","26.5","22","31","0.20216080248355867","0.18374624848365784","0.21992714703083038"
"3","37.5","33","42","0.19546207934617996","0.18324699997901917","0.22019124031066895"
"4","48.5","44","53","0.19249270260334014","0.17538383603096008","0.20571276545524597"
"5","59.5","55","64","0.19057387113571167","0.18071889877319336","0.19968467950820923"
"6","70.5","66","75","0.19107730090618133","0.17777304351329803","0.21955753862857819"
"7","81.5","77","86","0.18918831497430802","0.17188230156898499","0.1992502510547638"
"8","92.5","88","97","0.1886884853243828","0.1810963749885559","0.19807389378547668"
"9","103.5","99","108","0.188514806330204","0.16642045974731445","0.20332512259483337"
"10","114.5","110","119","0.18871700316667556","0.1699734628200531","0.21466286480426788"
"11","125.5","121","130","0.18730731904506684","0.17865580320358276","0.20004494488239288"
"12","136.5","132","141","0.18688372373580933","0.1684187352657318","0.19883257150650024"
"13","147.5","143","152","0.18661337941884995","0.17046642303466797","0.21384423971176147"
"14","158.5","154","163","0.18887271136045455","0.1723976731300354","0.21174836158752441"
"15","169.5","165","174","0.18892702907323838","0.17768339812755585","0.2239457666873932"
"16","180.5","176","185","0.18718553632497786","0.1693466454744339","0.20069068670272827"
"17","191.5","187","196","0.18333244770765306","0.16751036047935486","0.1963549107313156"
"18","202.5","198","207","0.1829066500067711","0.16791442036628723","0.19760426878929138"
"19","213.5","209","218","0.18164698779582977","0.1670842468738556","0.1978333741426468"
"20","224.5","220","229","0.1810297414660454","0.17475011944770813","0.19491849839687347"
"21","235.5","231","240","0.18007265776395798","0.17474275827407837","0.1891714334487915"
"22","246.5","242","251","0.1820177912712097","0.17428681254386902","0.1969808042049408"
"23","257.5","253","262","0.18053858280181884","0.16910314559936523","0.2021472156047821"
"24","268.5","264","273","0.18021532595157624","0.16635450720787048","0.19818821549415588"
"25","279.5","275","284","0.1788214400410652","0.16085031628608704","0.19378924369812012"
"26","290.5","286","295","0.17968823611736298","0.16565266251564026","0.18986481428146362"
"27","301.5","297","306","0.17752163410186766","0.16074223816394806","0.1954861581325531"
"28","312.5","308","317","0.1783309131860733","0.16418856382369995","0.18980123102664948"
"29","323.5","319","328","0.17680285573005677","0.15863868594169617","0.18617141246795654"
"30","334.5","330","339","0.17775262147188187","0.166595458984375","0.1848626434803009"
"31","345.5","341","350","0.17464183419942855","0.15367653965950012","0.18695330619812012"
"32","356.5","352","361","0.17340942919254304","0.16396133601665497","0.18029119074344635"
"33","367.5","363","372","0.1729712039232254","0.16243688762187958","0.18413478136062622"
"34","378.5","374","383","0.17255113422870635","0.15876081585884094","0.1853206604719162"
"35","389.5","385","394","0.17176233530044555","0.15626665949821472","0.1881473958492279"
"36","400.5","396","405","0.17056603133678436","0.1538119912147522","0.19435462355613708"
"37","411.5","407","416","0.17101990580558776","0.15873520076274872","0.18661174178123474"
"38","422.5","418","427","0.16955696940422058","0.1448882520198822","0.18404647707939148"
"39","433.5","429","438","0.16919914335012437","0.15732914209365845","0.17960208654403687"
"40","444.5","440","449","0.16826243996620177","0.14697027206420898","0.18474164605140686"
"41","455.5","451","460","0.16793737113475798","0.15608423948287964","0.18065506219863892"
"42","466.5","462","471","0.1672379583120346","0.15104076266288757","0.17780718207359314"
"43","477.5","473","482","0.1666570097208023","0.15902483463287354","0.17696276307106018"
"44","488.5","484","493","0.16639771759510041","0.15312522649765015","0.1769288182258606"
"45","499.5","495","504","0.16599318385124207","0.15109199285507202","0.17908579111099243"
"46","510.5","506","515","0.16553319096565247","0.1458432376384735","0.18218114972114563"
"47","521.5","517","526","0.1649315059185028","0.15587443113327026","0.17489223182201385"
"48","532.5","528","537","0.16412600576877595","0.1502777338027954","0.1733497679233551"
"49","543.5","539","548","0.16504111140966415","0.15297818183898926","0.1725265383720398"
"50","554.5","550","559","0.16333622932434083","0.1509573608636856","0.17466357350349426"
"51","565.5","561","570","0.16403907984495164","0.15529096126556396","0.17381171882152557"
"52","576.5","572","581","0.1630016192793846","0.15272685885429382","0.17162466049194336"
"53","587.5","583","592","0.16238389015197754","0.15362468361854553","0.17201384902000427"
"54","598.5","594","603","0.16198062747716904","0.15052442252635956","0.1800505518913269"
"55","609.5","605","614","0.16159167587757112","0.15044037997722626","0.17460612952709198"
"56","620.5","616","625","0.16182821691036225","0.15189999341964722","0.17549993097782135"
"57","631.5","627","636","0.1610556125640869","0.15233245491981506","0.17151209712028503"
"58","642.5","638","647","0.16106368899345397","0.14270472526550293","0.17717590928077698"
"59","653.5","649","658","0.16164134740829467","0.151265949010849","0.17080220580101013"