"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","val/KL","BCE 100 - val/KL__MIN","BCE 100 - val/KL__MAX"
"0","10","10","10","10.525197982788086","10.525197982788086","10.525197982788086"
"1","21","21","21","10.413869857788086","10.413869857788086","10.413869857788086"
"2","32","32","32","7.844398498535156","7.844398498535156","7.844398498535156"
"3","43","43","43","5.442233085632324","5.442233085632324","5.442233085632324"
"4","54","54","54","5.855465888977051","5.855465888977051","5.855465888977051"
"5","65","65","65","5.594509601593018","5.594509601593018","5.594509601593018"
"6","76","76","76","4.719024181365967","4.719024181365967","4.719024181365967"
"7","87","87","87","4.332552909851074","4.332552909851074","4.332552909851074"
"8","98","98","98","4.197362899780273","4.197362899780273","4.197362899780273"
"9","109","109","109","3.606671094894409","3.606671094894409","3.606671094894409"
"10","120","120","120","3.8293042182922363","3.8293042182922363","3.8293042182922363"
"11","131","131","131","3.438077211380005","3.438077211380005","3.438077211380005"
"12","142","142","142","3.42278790473938","3.42278790473938","3.42278790473938"
"13","153","153","153","3.3940019607543945","3.3940019607543945","3.3940019607543945"
"14","164","164","164","3.753566265106201","3.753566265106201","3.753566265106201"
"15","175","175","175","3.726998805999756","3.726998805999756","3.726998805999756"
"16","186","186","186","3.122506618499756","3.122506618499756","3.122506618499756"
"17","197","197","197","2.6832404136657715","2.6832404136657715","2.6832404136657715"
"18","208","208","208","2.8887064456939697","2.8887064456939697","2.8887064456939697"
"19","219","219","219","2.9076552391052246","2.9076552391052246","2.9076552391052246"
"20","230","230","230","2.218625068664551","2.218625068664551","2.218625068664551"
"21","241","241","241","3.6882708072662354","3.6882708072662354","3.6882708072662354"
"22","252","252","252","2.6551594734191895","2.6551594734191895","2.6551594734191895"
"23","263","263","263","2.353196144104004","2.353196144104004","2.353196144104004"
"24","274","274","274","1.9399738311767578","1.9399738311767578","1.9399738311767578"
"25","285","285","285","2.070305109024048","2.070305109024048","2.070305109024048"
"26","296","296","296","1.7693380117416382","1.7693380117416382","1.7693380117416382"
"27","307","307","307","2.245138645172119","2.245138645172119","2.245138645172119"
"28","318","318","318","2.379164695739746","2.379164695739746","2.379164695739746"
"29","329","329","329","1.705066204071045","1.705066204071045","1.705066204071045"
"30","340","340","340","2.252744674682617","2.252744674682617","2.252744674682617"
"31","351","351","351","2.7817881107330322","2.7817881107330322","2.7817881107330322"
"32","362","362","362","1.8817706108093262","1.8817706108093262","1.8817706108093262"
"33","373","373","373","2.702335834503174","2.702335834503174","2.702335834503174"
"34","384","384","384","1.8213742971420288","1.8213742971420288","1.8213742971420288"
"35","395","395","395","2.624652862548828","2.624652862548828","2.624652862548828"
"36","406","406","406","2.003551483154297","2.003551483154297","2.003551483154297"
"37","417","417","417","2.2857491970062256","2.2857491970062256","2.2857491970062256"
"38","428","428","428","1.7402445077896118","1.7402445077896118","1.7402445077896118"
"39","439","439","439","2.046388626098633","2.046388626098633","2.046388626098633"
"40","450","450","450","1.561653971672058","1.561653971672058","1.561653971672058"
"41","461","461","461","2.3648428916931152","2.3648428916931152","2.3648428916931152"
"42","472","472","472","1.6079126596450806","1.6079126596450806","1.6079126596450806"
"43","483","483","483","2.2046258449554443","2.2046258449554443","2.2046258449554443"
"44","494","494","494","1.7250494956970215","1.7250494956970215","1.7250494956970215"
"45","505","505","505","2.362809181213379","2.362809181213379","2.362809181213379"
"46","516","516","516","2.174792528152466","2.174792528152466","2.174792528152466"
"47","527","527","527","1.9646316766738892","1.9646316766738892","1.9646316766738892"
"48","538","538","538","2.502016544342041","2.502016544342041","2.502016544342041"
"49","549","549","549","2.3424935340881348","2.3424935340881348","2.3424935340881348"
"50","560","560","560","1.8324947357177734","1.8324947357177734","1.8324947357177734"
"51","571","571","571","1.9151861667633057","1.9151861667633057","1.9151861667633057"
"52","582","582","582","1.9055546522140503","1.9055546522140503","1.9055546522140503"
"53","593","593","593","1.9846712350845337","1.9846712350845337","1.9846712350845337"
"54","604","604","604","1.8926624059677124","1.8926624059677124","1.8926624059677124"
"55","615","615","615","2.1272387504577637","2.1272387504577637","2.1272387504577637"
"56","626","626","626","1.5986748933792114","1.5986748933792114","1.5986748933792114"
"57","637","637","637","2.1231257915496826","2.1231257915496826","2.1231257915496826"
"58","648","648","648","2.0687215328216553","2.0687215328216553","2.0687215328216553"
"59","659","659","659","1.903226613998413","1.903226613998413","1.903226613998413"
"60","670","670","670","2.033088207244873","2.033088207244873","2.033088207244873"
"61","681","681","681","2.028275728225708","2.028275728225708","2.028275728225708"
"62","692","692","692","1.8869671821594238","1.8869671821594238","1.8869671821594238"
"63","703","703","703","1.9926694631576538","1.9926694631576538","1.9926694631576538"
"64","714","714","714","1.8298001289367676","1.8298001289367676","1.8298001289367676"
"65","725","725","725","1.6343684196472168","1.6343684196472168","1.6343684196472168"
"66","736","736","736","1.9621236324310303","1.9621236324310303","1.9621236324310303"
"67","747","747","747","1.8689768314361572","1.8689768314361572","1.8689768314361572"
"68","758","758","758","1.7037322521209717","1.7037322521209717","1.7037322521209717"
"69","769","769","769","1.977881669998169","1.977881669998169","1.977881669998169"
"70","780","780","780","1.9600319862365723","1.9600319862365723","1.9600319862365723"
"71","791","791","791","1.9075827598571777","1.9075827598571777","1.9075827598571777"
"72","802","802","802","1.902745246887207","1.902745246887207","1.902745246887207"
"73","813","813","813","1.962061882019043","1.962061882019043","1.962061882019043"
"74","824","824","824","1.933040738105774","1.933040738105774","1.933040738105774"
"75","835","835","835","1.8559956550598145","1.8559956550598145","1.8559956550598145"
"76","846","846","846","1.8229682445526123","1.8229682445526123","1.8229682445526123"
"77","857","857","857","1.802095651626587","1.802095651626587","1.802095651626587"
"78","868","868","868","1.782585620880127","1.782585620880127","1.782585620880127"
"79","879","879","879","1.720421552658081","1.720421552658081","1.720421552658081"
"80","890","890","890","1.8200596570968628","1.8200596570968628","1.8200596570968628"
"81","901","901","901","1.7942811250686646","1.7942811250686646","1.7942811250686646"
"82","912","912","912","1.7676481008529663","1.7676481008529663","1.7676481008529663"
"83","923","923","923","1.6405683755874634","1.6405683755874634","1.6405683755874634"
"84","934","934","934","1.622875452041626","1.622875452041626","1.622875452041626"
"85","945","945","945","1.8135102987289429","1.8135102987289429","1.8135102987289429"
"86","956","956","956","1.741411805152893","1.741411805152893","1.741411805152893"
"87","967","967","967","1.7621657848358154","1.7621657848358154","1.7621657848358154"
"88","978","978","978","1.6444700956344604","1.6444700956344604","1.6444700956344604"
"89","989","989","989","1.609631061553955","1.609631061553955","1.609631061553955"
"90","1000","1000","1000","1.748523235321045","1.748523235321045","1.748523235321045"
"91","1011","1011","1011","1.6969342231750488","1.6969342231750488","1.6969342231750488"
"92","1022","1022","1022","1.808472752571106","1.808472752571106","1.808472752571106"
"93","1033","1033","1033","1.8069697618484497","1.8069697618484497","1.8069697618484497"
"94","1044","1044","1044","1.7337117195129395","1.7337117195129395","1.7337117195129395"
"95","1055","1055","1055","1.7706091403961182","1.7706091403961182","1.7706091403961182"
"96","1066","1066","1066","1.713418960571289","1.713418960571289","1.713418960571289"
"97","1077","1077","1077","1.7155340909957886","1.7155340909957886","1.7155340909957886"
"98","1088","1088","1088","1.7001230716705322","1.7001230716705322","1.7001230716705322"
"99","1099","1099","1099","1.762061357498169","1.762061357498169","1.762061357498169"