"epoch","CAPEOK - _step","CAPEOK - _step__MIN","CAPEOK - _step__MAX","val/KL","CAPEOK - val/KL__MIN","CAPEOK - val/KL__MAX"
"0","10","10","10","3.7054457664489746","3.7054457664489746","3.7054457664489746"
"1","21","21","21","2.602792739868164","2.602792739868164","2.602792739868164"
"2","32","32","32","2.192326068878174","2.192326068878174","2.192326068878174"
"3","43","43","43","2.1927525997161865","2.1927525997161865","2.1927525997161865"
"4","54","54","54","2.0538854598999023","2.0538854598999023","2.0538854598999023"
"5","65","65","65","1.7137233018875122","1.7137233018875122","1.7137233018875122"
"6","76","76","76","2.486844778060913","2.486844778060913","2.486844778060913"
"7","87","87","87","2.262627601623535","2.262627601623535","2.262627601623535"
"8","98","98","98","2.0815978050231934","2.0815978050231934","2.0815978050231934"
"9","109","109","109","2.1447722911834717","2.1447722911834717","2.1447722911834717"
"10","120","120","120","1.983017086982727","1.983017086982727","1.983017086982727"
"11","131","131","131","2.010366201400757","2.010366201400757","2.010366201400757"
"12","142","142","142","1.9520047903060913","1.9520047903060913","1.9520047903060913"
"13","153","153","153","2.2465245723724365","2.2465245723724365","2.2465245723724365"
"14","164","164","164","1.8246816396713257","1.8246816396713257","1.8246816396713257"
"15","175","175","175","2.58626651763916","2.58626651763916","2.58626651763916"
"16","186","186","186","1.8783525228500366","1.8783525228500366","1.8783525228500366"
"17","197","197","197","1.8815555572509766","1.8815555572509766","1.8815555572509766"
"18","208","208","208","2.027289867401123","2.027289867401123","2.027289867401123"
"19","219","219","219","1.9704866409301758","1.9704866409301758","1.9704866409301758"
"20","230","230","230","1.9929124116897583","1.9929124116897583","1.9929124116897583"
"21","241","241","241","2.2278144359588623","2.2278144359588623","2.2278144359588623"
"22","252","252","252","2.163034677505493","2.163034677505493","2.163034677505493"
"23","263","263","263","1.946714162826538","1.946714162826538","1.946714162826538"
"24","274","274","274","1.8874554634094238","1.8874554634094238","1.8874554634094238"
"25","285","285","285","1.8593522310256958","1.8593522310256958","1.8593522310256958"
"26","296","296","296","1.94565749168396","1.94565749168396","1.94565749168396"
"27","307","307","307","1.7005913257598877","1.7005913257598877","1.7005913257598877"
"28","318","318","318","1.6949788331985474","1.6949788331985474","1.6949788331985474"
"29","329","329","329","1.747429609298706","1.747429609298706","1.747429609298706"
"30","340","340","340","1.9017947912216187","1.9017947912216187","1.9017947912216187"
"31","351","351","351","1.9641194343566895","1.9641194343566895","1.9641194343566895"
"32","362","362","362","1.8804463148117065","1.8804463148117065","1.8804463148117065"
"33","373","373","373","1.8640199899673462","1.8640199899673462","1.8640199899673462"
"34","384","384","384","1.8723633289337158","1.8723633289337158","1.8723633289337158"
"35","395","395","395","1.8451266288757324","1.8451266288757324","1.8451266288757324"
"36","406","406","406","1.9405004978179932","1.9405004978179932","1.9405004978179932"
"37","417","417","417","1.7114214897155762","1.7114214897155762","1.7114214897155762"
"38","428","428","428","1.7066587209701538","1.7066587209701538","1.7066587209701538"
"39","439","439","439","1.8613522052764893","1.8613522052764893","1.8613522052764893"
"40","450","450","450","2.0816335678100586","2.0816335678100586","2.0816335678100586"
"41","461","461","461","1.8734564781188965","1.8734564781188965","1.8734564781188965"
"42","472","472","472","1.999027967453003","1.999027967453003","1.999027967453003"
"43","483","483","483","2.014794111251831","2.014794111251831","2.014794111251831"
"44","494","494","494","1.856417179107666","1.856417179107666","1.856417179107666"
"45","505","505","505","1.8590641021728516","1.8590641021728516","1.8590641021728516"
"46","516","516","516","1.8253402709960938","1.8253402709960938","1.8253402709960938"
"47","527","527","527","1.8363234996795654","1.8363234996795654","1.8363234996795654"
"48","538","538","538","2.1037731170654297","2.1037731170654297","2.1037731170654297"
"49","549","549","549","2.0026865005493164","2.0026865005493164","2.0026865005493164"
"50","560","560","560","1.7630378007888794","1.7630378007888794","1.7630378007888794"
"51","571","571","571","1.9009653329849243","1.9009653329849243","1.9009653329849243"
"52","582","582","582","1.9316246509552002","1.9316246509552002","1.9316246509552002"
"53","593","593","593","1.8496013879776","1.8496013879776","1.8496013879776"
"54","604","604","604","1.901118516921997","1.901118516921997","1.901118516921997"
"55","615","615","615","1.9243147373199463","1.9243147373199463","1.9243147373199463"
"56","626","626","626","1.866633653640747","1.866633653640747","1.866633653640747"
"57","637","637","637","1.900780200958252","1.900780200958252","1.900780200958252"
"58","648","648","648","1.914799690246582","1.914799690246582","1.914799690246582"
"59","659","659","659","1.7359309196472168","1.7359309196472168","1.7359309196472168"