"epoch","CAPEOK - _step","CAPEOK - _step__MIN","CAPEOK - _step__MAX","val/brierScore","CAPEOK - val/brierScore__MIN","CAPEOK - val/brierScore__MAX"
"0","10","10","10","0.09287872165441513","0.09287872165441513","0.09287872165441513"
"1","21","21","21","0.059173524379730225","0.059173524379730225","0.059173524379730225"
"2","32","32","32","0.049432601779699326","0.049432601779699326","0.049432601779699326"
"3","43","43","43","0.04752606153488159","0.04752606153488159","0.04752606153488159"
"4","54","54","54","0.044770337641239166","0.044770337641239166","0.044770337641239166"
"5","65","65","65","0.037020523101091385","0.037020523101091385","0.037020523101091385"
"6","76","76","76","0.05878012627363205","0.05878012627363205","0.05878012627363205"
"7","87","87","87","0.051262907683849335","0.051262907683849335","0.051262907683849335"
"8","98","98","98","0.045431170612573624","0.045431170612573624","0.045431170612573624"
"9","109","109","109","0.0491383820772171","0.0491383820772171","0.0491383820772171"
"10","120","120","120","0.04307961091399193","0.04307961091399193","0.04307961091399193"
"11","131","131","131","0.04501451551914215","0.04501451551914215","0.04501451551914215"
"12","142","142","142","0.0425763875246048","0.0425763875246048","0.0425763875246048"
"13","153","153","153","0.05093202739953995","0.05093202739953995","0.05093202739953995"
"14","164","164","164","0.03979184851050377","0.03979184851050377","0.03979184851050377"
"15","175","175","175","0.06044063717126846","0.06044063717126846","0.06044063717126846"
"16","186","186","186","0.04187951609492302","0.04187951609492302","0.04187951609492302"
"17","197","197","197","0.04153379425406456","0.04153379425406456","0.04153379425406456"
"18","208","208","208","0.04551011323928833","0.04551011323928833","0.04551011323928833"
"19","219","219","219","0.04388224706053734","0.04388224706053734","0.04388224706053734"
"20","230","230","230","0.045220937579870224","0.045220937579870224","0.045220937579870224"
"21","241","241","241","0.051525287330150604","0.051525287330150604","0.051525287330150604"
"22","252","252","252","0.04918862506747246","0.04918862506747246","0.04918862506747246"
"23","263","263","263","0.04356735572218895","0.04356735572218895","0.04356735572218895"
"24","274","274","274","0.04218193143606186","0.04218193143606186","0.04218193143606186"
"25","285","285","285","0.04252394661307335","0.04252394661307335","0.04252394661307335"
"26","296","296","296","0.04307587072253227","0.04307587072253227","0.04307587072253227"
"27","307","307","307","0.0385977178812027","0.0385977178812027","0.0385977178812027"
"28","318","318","318","0.0375790111720562","0.0375790111720562","0.0375790111720562"
"29","329","329","329","0.03851648047566414","0.03851648047566414","0.03851648047566414"
"30","340","340","340","0.04285720735788345","0.04285720735788345","0.04285720735788345"
"31","351","351","351","0.04505832865834236","0.04505832865834236","0.04505832865834236"
"32","362","362","362","0.04262176528573036","0.04262176528573036","0.04262176528573036"
"33","373","373","373","0.04246925935149193","0.04246925935149193","0.04246925935149193"
"34","384","384","384","0.04265274107456207","0.04265274107456207","0.04265274107456207"
"35","395","395","395","0.04243885725736618","0.04243885725736618","0.04243885725736618"
"36","406","406","406","0.04469974339008331","0.04469974339008331","0.04469974339008331"
"37","417","417","417","0.038796328008174896","0.038796328008174896","0.038796328008174896"
"38","428","428","428","0.038946546614170074","0.038946546614170074","0.038946546614170074"
"39","439","439","439","0.043014977127313614","0.043014977127313614","0.043014977127313614"
"40","450","450","450","0.049290046095848083","0.049290046095848083","0.049290046095848083"
"41","461","461","461","0.04355604201555252","0.04355604201555252","0.04355604201555252"
"42","472","472","472","0.04714680835604668","0.04714680835604668","0.04714680835604668"
"43","483","483","483","0.04747316986322403","0.04747316986322403","0.04747316986322403"
"44","494","494","494","0.04321451112627983","0.04321451112627983","0.04321451112627983"
"45","505","505","505","0.04350293055176735","0.04350293055176735","0.04350293055176735"
"46","516","516","516","0.042750678956508636","0.042750678956508636","0.042750678956508636"
"47","527","527","527","0.04306584224104881","0.04306584224104881","0.04306584224104881"
"48","538","538","538","0.05067821592092514","0.05067821592092514","0.05067821592092514"
"49","549","549","549","0.04795586317777634","0.04795586317777634","0.04795586317777634"
"50","560","560","560","0.04144272953271866","0.04144272953271866","0.04144272953271866"
"51","571","571","571","0.045134007930755615","0.045134007930755615","0.045134007930755615"
"52","582","582","582","0.04601192846894264","0.04601192846894264","0.04601192846894264"
"53","593","593","593","0.04379428178071976","0.04379428178071976","0.04379428178071976"
"54","604","604","604","0.045299556106328964","0.045299556106328964","0.045299556106328964"
"55","615","615","615","0.04594653099775314","0.04594653099775314","0.04594653099775314"
"56","626","626","626","0.04463798552751541","0.04463798552751541","0.04463798552751541"
"57","637","637","637","0.04554083198308945","0.04554083198308945","0.04554083198308945"
"58","648","648","648","0.0460156612098217","0.0460156612098217","0.0460156612098217"
"59","659","659","659","0.04129176586866379","0.04129176586866379","0.04129176586866379"